2025-12-15 22:08:25,419 | INFO | packages.data_handler | Checking existence of data/ib_tickers.pkl in S3 bucket systematic-trading-infra-storage...
2025-12-15 22:08:25,989 | INFO | packages.data_handler | File data/ib_tickers.pkl exists in S3 bucket systematic-trading-infra-storage.
2025-12-15 22:08:25,990 | INFO | packages.data_handler | Checking existence of data/crsp_to_ib_mapping_tickers.pkl in S3 bucket systematic-trading-infra-storage...
2025-12-15 22:08:26,036 | INFO | packages.data_handler | File data/crsp_to_ib_mapping_tickers.pkl exists in S3 bucket systematic-trading-infra-storage.
2025-12-15 22:08:26,036 | INFO | packages.data_handler | Checking existence of data/wrds_universe.parquet in S3 bucket systematic-trading-infra-storage...
2025-12-15 22:08:26,087 | INFO | packages.data_handler | File data/wrds_universe.parquet exists in S3 bucket systematic-trading-infra-storage.
2025-12-15 22:08:26,088 | INFO | packages.data_handler | Checking existence of data/wrds_gross_query.parquet in S3 bucket systematic-trading-infra-storage...
2025-12-15 22:08:26,134 | INFO | packages.data_handler | File data/wrds_gross_query.parquet exists in S3 bucket systematic-trading-infra-storage.
2025-12-15 22:08:26,134 | INFO | packages.data_handler | Checking existence of data/ib_historical_prices.parquet in S3 bucket systematic-trading-infra-storage...
2025-12-15 22:08:26,184 | INFO | packages.data_handler | File data/ib_historical_prices.parquet exists in S3 bucket systematic-trading-infra-storage.
2025-12-15 22:08:26,184 | INFO | packages.data_handler | Checking existence of data/tickers_across_dates.pkl in S3 bucket systematic-trading-infra-storage...
2025-12-15 22:08:26,232 | INFO | packages.data_handler | File data/tickers_across_dates.pkl exists in S3 bucket systematic-trading-infra-storage.
2025-12-15 22:08:26,232 | INFO | packages.data_handler | Checking existence of data/dates.pkl in S3 bucket systematic-trading-infra-storage...
2025-12-15 22:08:26,280 | INFO | packages.data_handler | File data/dates.pkl exists in S3 bucket systematic-trading-infra-storage.
2025-12-15 22:08:26,281 | INFO | packages.data_handler | Downloading data/ib_tickers.pkl from S3 bucket systematic-trading-infra-storage
2025-12-15 22:08:26,361 | INFO | packages.data_handler | Downloading data/crsp_to_ib_mapping_tickers.pkl from S3 bucket systematic-trading-infra-storage
